"SEQ_ID","CNCI","COME","LncADeep","lncRNAnet","PLEK","RNAmining"
"ENST00000453576.2|ENSG00000238009.4|OTTHUMG00000001096.2|OTTHUMT00000003689.1|RP11-34P13.7-004|RP11-34P13.7|336|",0,0,1,1,0,0
"ENST00000442116.1|ENSG00000228463.6|OTTHUMG00000002553.2|OTTHUMT00000007244.1|AP006222.2-003|AP006222.2|1292|",1,0,1,1,0,0
"ENST00000448958.1|ENSG00000228463.6|OTTHUMG00000002553.2|OTTHUMT00000007243.1|AP006222.2-002|AP006222.2|1925|",1,0,1,1,0,0
"ENST00000431812.1|ENSG00000237094.9|OTTHUMG00000156968.5|OTTHUMT00000007996.2|RP4-669L17.10-008|RP4-669L17.10|336|",0,0,1,1,0,0
"ENST00000447954.1|ENSG00000230021.5|OTTHUMG00000002331.4|OTTHUMT00000006878.2|RP5-857K21.4-005|RP5-857K21.4|336|",0,0,1,1,0,0
"ENST00000454562.1|ENSG00000225285.1|OTTHUMG00000002915.2|OTTHUMT00000008262.1|RP4-758J18.10-004|RP4-758J18.10|424|",0,0,1,0,0,0
"ENST00000598846.1|ENSG00000268575.1|OTTHUMG00000183552.1|OTTHUMT00000467163.1|RP1-283E3.8-001|RP1-283E3.8|5079|",1,1,1,1,1,0
"ENST00000412228.1|ENSG00000231050.1|OTTHUMG00000000941.1|OTTHUMT00000002766.1|RP1-140A9.1-001|RP1-140A9.1|906|",0,0,1,0,0,0
"ENST00000429389.1|ENSG00000231630.1|OTTHUMG00000000565.1|OTTHUMT00000001338.1|RP11-740P5.3-001|RP11-740P5.3|429|",0,0,1,0,0,0
"ENST00000416554.1|ENSG00000235131.1|OTTHUMG00000003412.1|OTTHUMT00000009554.1|RP5-1092A11.2-001|RP5-1092A11.2|351|",0,1,1,0,0,0
"ENST00000608600.1|ENSG00000227372.8|OTTHUMG00000003414.4|OTTHUMT00000472154.1|TP73-AS1-009|TP73-AS1|597|",0,0,1,1,0,0
"ENST00000437157.2|ENSG00000228526.2|OTTHUMG00000001762.1|OTTHUMT00000004910.1|RP3-510D11.1-001|RP3-510D11.1|450|",0,0,1,0,0,0
"ENST00000607572.1|ENSG00000271989.1|OTTHUMG00000185648.1|OTTHUMT00000470922.1|RP4-736L20.3-001|RP4-736L20.3|797|",0,0,1,0,0,0
"ENST00000412962.1|ENSG00000215908.6|OTTHUMG00000037884.3|OTTHUMT00000092784.1|CROCCP2-003|CROCCP2|2763|",0,0,1,1,0,0
"ENST00000431027.1|ENSG00000227066.1|OTTHUMG00000002703.1|OTTHUMT00000007686.1|RP3-340N1.2-002|RP3-340N1.2|2493|",0,0,1,0,0,0
"ENST00000434233.1|ENSG00000218510.4|OTTHUMG00000002757.2|OTTHUMT00000096539.1|LINC00339-004|LINC00339|809|",0,0,1,0,0,0
